field_index,ra0_deg,dec0_deg,target_name,n_target_names,Nvisits,field_mjd_min,field_mjd_max,field_span_days,field_span_years,ebv_mw,R_u_mw,A_u_mw,R_g_mw,A_g_mw,R_r_mw,A_r_mw,R_i_mw,A_i_mw,R_z_mw,A_z_mw,R_y_mw,A_y_mw
33,10.580548760145732,-46.93227974336153,lowdust,1,683,61211.445684530656,64854.425921733964,3642.980237203308,9.973936309933766,0.011363725177943707,4.757217815396922,0.05405971586578836,3.6605664439892616,0.04159767106509663,2.70136780871597,0.03069760138279229,2.0536599130965882,0.023337226861389383,1.5900964472616756,0.01806941903310634,1.3077049588254708,0.014860399765926841
34,229.39531753620204,-60.888159813982504,bulgy,1,708,61213.00692329092,64848.008076737984,3635.0011534470614,9.952090769191134,1.135636568069458,4.757217815396922,5.402470513436246,3.6605664439892616,4.157073113642185,2.70136780871597,3.0677720673835163,2.0536599130965882,2.332211295690831,1.5900964472616756,1.8057716722676873,1.3077049588254708,1.4850775714879696
35,283.4994403327649,-29.121012745229244,lowdust,1,745,61208.33870928233,64851.14830887443,3642.8095995920958,9.973469129615594,0.18063747882843018,4.757217815396922,0.8593318324109924,3.6605664439892616,0.6612354935261722,2.70136780871597,0.48796827035473384,2.0536599130965882,0.3709679490727807,1.5900964472616756,0.287231013327393,1.3077049588254708,0.23622052681366912
36,45.60750274096259,-41.15766837439033,lowdust,1,700,61226.43599606864,64853.39163185059,3626.9556357819456,9.93006334231881,0.012291296385228634,4.757217815396922,0.05847237413813345,3.6605664439892616,0.04499310710089444,2.70136780871597,0.033203312382443596,2.0536599130965882,0.025242142666333046,1.5900964472616756,0.019544346714392327,1.3077049588254708,0.016073389233357067
37,29.72121427690749,-15.57667389863963,lowdust,1,763,61244.421296586406,64860.419460330886,3615.99816374448,9.900063418876057,0.016151098534464836,4.757217815396922,0.07683429368638724,3.6605664439892616,0.05912216932882612,2.70136780871597,0.04363005765640299,2.0536599130965882,0.03316886361270349,1.5900964472616756,0.02568180439902579,1.3077049588254708,0.02112087164399846
38,163.7088064884436,-39.71265942139436,lowdust,1,794,61396.33154339769,64852.05243937429,3455.7208959765994,9.461248175158383,0.09683047980070114,4.757217815396922,0.4606436835813273,3.6605664439892616,0.3544544051138266,2.70136780871597,0.26157474103613604,2.0536599130965882,0.19885687473260885,1.5900964472616756,0.15396980191773832,1.3077049588254708,0.12662569860082645
39,88.85328540983433,-70.72625477744992,LMC_SMC,1,682,61313.376842556056,64845.01158586231,3531.6347433062547,9.669088961824105,0.10079504549503326,4.757217815396922,0.47950398613271555,3.6605664439892616,0.36896696125948975,2.70136780871597,0.2722844911783445,2.0536599130965882,0.20699874437189666,1.5900964472616756,0.16027384374323136,1.3077049588254708,0.13181018081889392
40,101.87405101218563,-31.698217364200875,lowdust,1,729,61336.3410407725,64792.991006847886,3456.6499660753834,9.46379183045964,0.08800656348466873,4.757217815396922,0.41866639168112635,3.6605664439892616,0.32215387314278904,2.70136780871597,0.23773809755320247,2.0536599130965882,0.18073555151785417,1.5900964472616756,0.13993892393268087,1.3077049588254708,0.1150866194780899
41,162.19655442059965,-34.43287112039812,lowdust,1,793,61213.96362676724,64852.049421945005,3638.0857951777652,9.960536057981562,0.08330673724412918,4.757217815396922,0.39630829456036165,3.6605664439892616,0.3049498469140897,2.70136780871597,0.22504213824045033,2.0536599130965882,0.17108370676913864,1.5900964472616756,0.13246574692485172,1.3077049588254708,0.10894063339771827
42,49.93420420440787,-33.94267482468403,lowdust,1,773,61300.40613072644,64734.07386877847,3433.667738052027,9.400869919375843,0.011271828785538673,4.757217815396922,0.05362254471066843,3.6605664439892616,0.041261278214735096,2.70136780871597,0.0304493554266122,2.0536599130965882,0.023148502924148974,1.5900964472616756,0.017923294906026933,1.3077049588254708,0.014740226397880607
43,255.38466303227952,-61.298621210282086,lowdust,1,703,61214.08454427791,64853.24835797058,3639.1638136926704,9.963487511821137,0.14134937524795532,4.757217815396922,0.6724297661247978,3.6605664439892616,0.5174187799115115,2.70136780871597,0.38183665207694045,2.0536599130965882,0.290283545687973,1.5900964472616756,0.22475913940443118,1.3077049588254708,0.18484327893863342
44,198.5807965580526,-8.89023269904225,lowdust,1,741,61218.00280086324,64854.05793781623,3636.055136952986,9.954976418762453,0.038514234125614166,4.757217815396922,0.1832206007287398,3.6605664439892616,0.1409839130561693,2.70136780871597,0.10404111224428418,2.0536599130965882,0.07909513870739045,1.5900964472616756,0.061241346852143476,1.3077049588254708,0.050365254951430814
